timestamp,occupied,hvac_kw,indoor_temp_f,outdoor_temp_f
2026-09-07 00:00,false,0.4,74,51.4
2026-09-07 01:00,false,0.4,74.4,51
2026-09-07 02:00,false,0.4,74.7,51.4
2026-09-07 03:00,false,0.4,75,52.7
2026-09-07 04:00,false,0.4,75.2,54.8
2026-09-07 05:00,false,0.4,75.4,57.5
2026-09-07 06:00,false,3,75.4,60.6
2026-09-07 07:00,false,6,75.4,64
2026-09-07 08:00,true,46,72.4,67.4
2026-09-07 09:00,true,49,72.4,70.5
2026-09-07 10:00,true,52,72.3,73.2
2026-09-07 11:00,true,54,72.1,75.3
2026-09-07 12:00,true,55,72,76.6
2026-09-07 13:00,true,55,71.9,77
2026-09-07 14:00,true,54,71.8,76.6
2026-09-07 15:00,true,52,71.6,75.3
2026-09-07 16:00,true,50,71.6,73.2
2026-09-07 17:00,true,47,71.5,70.5
2026-09-07 18:00,false,3,72.6,67.4
2026-09-07 19:00,false,0.4,72.6,64
2026-09-07 20:00,false,0.4,72.8,60.6
2026-09-07 21:00,false,0.4,73,57.5
2026-09-07 22:00,false,0.4,73.3,54.8
2026-09-07 23:00,false,0.4,73.6,52.7
2026-09-08 00:00,false,0.4,74,51.8
2026-09-08 01:00,false,0.4,74.4,51.4
2026-09-08 02:00,false,0.4,74.7,51.8
2026-09-08 03:00,false,0.4,75,53.1
2026-09-08 04:00,false,0.4,75.2,55.2
2026-09-08 05:00,false,0.4,75.4,57.9
2026-09-08 06:00,false,3,75.4,61
2026-09-08 07:00,false,6,75.4,64.4
2026-09-08 08:00,true,46,72.4,67.8
2026-09-08 09:00,true,49,72.4,70.9
2026-09-08 10:00,true,52,72.3,73.6
2026-09-08 11:00,true,54,72.1,75.7
2026-09-08 12:00,true,55,72,77
2026-09-08 13:00,true,55,71.9,77.4
2026-09-08 14:00,true,54,71.8,77
2026-09-08 15:00,true,52,71.6,75.7
2026-09-08 16:00,true,50,71.6,73.6
2026-09-08 17:00,true,47,71.5,70.9
2026-09-08 18:00,false,3,72.6,67.8
2026-09-08 19:00,false,0.4,72.6,64.4
2026-09-08 20:00,false,0.4,72.8,61
2026-09-08 21:00,false,0.4,73,57.9
2026-09-08 22:00,false,0.4,73.3,55.2
2026-09-08 23:00,false,0.4,73.6,53.1
2026-09-09 00:00,false,0.4,74,52.2
2026-09-09 01:00,false,0.4,74.4,51.8
2026-09-09 02:00,false,0.4,74.7,52.2
2026-09-09 03:00,false,0.4,75,53.5
2026-09-09 04:00,false,0.4,75.2,55.6
2026-09-09 05:00,false,0.4,75.4,58.3
2026-09-09 06:00,false,3,75.4,61.4
2026-09-09 07:00,false,6,75.4,64.8
2026-09-09 08:00,true,46,72.4,68.2
2026-09-09 09:00,true,49,72.4,71.3
2026-09-09 10:00,true,52,72.3,74
2026-09-09 11:00,true,54,72.1,76.1
2026-09-09 12:00,true,55,72,77.4
2026-09-09 13:00,true,55,71.9,77.8
2026-09-09 14:00,true,54,71.8,77.4
2026-09-09 15:00,true,52,71.6,76.1
2026-09-09 16:00,true,50,71.6,74
2026-09-09 17:00,true,47,71.5,71.3
2026-09-09 18:00,false,3,72.6,68.2
2026-09-09 19:00,false,0.4,72.6,64.8
2026-09-09 20:00,false,0.4,72.8,61.4
2026-09-09 21:00,false,0.4,73,58.3
2026-09-09 22:00,false,0.4,73.3,55.6
2026-09-09 23:00,false,0.4,73.6,53.5
2026-09-10 00:00,false,0.4,74,52.6
2026-09-10 01:00,false,0.4,74.4,52.2
2026-09-10 02:00,false,0.4,74.7,52.6
2026-09-10 03:00,false,0.4,75,53.9
2026-09-10 04:00,false,0.4,75.2,56
2026-09-10 05:00,false,0.4,75.4,58.7
2026-09-10 06:00,false,3,75.4,61.8
2026-09-10 07:00,false,6,75.4,65.2
2026-09-10 08:00,true,46,72.4,68.6
2026-09-10 09:00,true,49,72.4,71.7
2026-09-10 10:00,true,52,72.3,74.4
2026-09-10 11:00,true,54,72.1,76.5
2026-09-10 12:00,true,55,72,77.8
2026-09-10 13:00,true,55,71.9,78.2
2026-09-10 14:00,true,54,71.8,77.8
2026-09-10 15:00,true,52,71.6,76.5
2026-09-10 16:00,true,50,71.6,74.4
2026-09-10 17:00,true,47,71.5,71.7
2026-09-10 18:00,false,3,72.6,68.6
2026-09-10 19:00,false,0.4,72.6,65.2
2026-09-10 20:00,false,0.4,72.8,61.8
2026-09-10 21:00,false,0.4,73,58.7
2026-09-10 22:00,false,0.4,73.3,56
2026-09-10 23:00,false,0.4,73.6,53.9
2026-09-11 00:00,false,0.4,74,53
2026-09-11 01:00,false,0.4,74.4,52.6
2026-09-11 02:00,false,0.4,74.7,53
2026-09-11 03:00,false,0.4,75,54.3
2026-09-11 04:00,false,0.4,75.2,56.4
2026-09-11 05:00,false,0.4,75.4,59.1
2026-09-11 06:00,false,3,75.4,62.2
2026-09-11 07:00,false,6,75.4,65.6
2026-09-11 08:00,true,46,72.4,69
2026-09-11 09:00,true,49,72.4,72.1
2026-09-11 10:00,true,52,72.3,74.8
2026-09-11 11:00,true,54,72.1,76.9
2026-09-11 12:00,true,55,72,78.2
2026-09-11 13:00,true,55,71.9,78.6
2026-09-11 14:00,true,54,71.8,78.2
2026-09-11 15:00,true,52,71.6,76.9
2026-09-11 16:00,true,50,71.6,74.8
2026-09-11 17:00,true,47,71.5,72.1
2026-09-11 18:00,false,3,72.6,69
2026-09-11 19:00,false,0.4,72.6,65.6
2026-09-11 20:00,false,0.4,72.8,62.2
2026-09-11 21:00,false,0.4,73,59.1
2026-09-11 22:00,false,0.4,73.3,56.4
2026-09-11 23:00,false,0.4,73.6,54.3
2026-09-12 00:00,false,0.2,74,53.4
2026-09-12 01:00,false,0.2,74.4,53
2026-09-12 02:00,false,0.2,74.7,53.4
2026-09-12 03:00,false,0.2,75,54.7
2026-09-12 04:00,false,0.2,75.2,56.8
2026-09-12 05:00,false,0.2,75.4,59.5
2026-09-12 06:00,false,0.2,75.4,62.6
2026-09-12 07:00,false,0.2,75.4,66
2026-09-12 08:00,false,0.2,75.2,69.4
2026-09-12 09:00,false,0.2,75,72.5
2026-09-12 10:00,false,0.2,74.7,75.2
2026-09-12 11:00,false,0.2,74.4,77.3
2026-09-12 12:00,false,0.2,74,78.6
2026-09-12 13:00,false,0.2,73.6,79
2026-09-12 14:00,false,0.2,73.3,78.6
2026-09-12 15:00,false,0.2,73,77.3
2026-09-12 16:00,false,0.2,72.8,75.2
2026-09-12 17:00,false,0.2,72.6,72.5
2026-09-12 18:00,false,0.2,72.6,69.4
2026-09-12 19:00,false,0.2,72.6,66
2026-09-12 20:00,false,0.2,72.8,62.6
2026-09-12 21:00,false,0.2,73,59.5
2026-09-12 22:00,false,0.2,73.3,56.8
2026-09-12 23:00,false,0.2,73.6,54.7
2026-09-13 00:00,false,0.2,74,53.8
2026-09-13 01:00,false,0.2,74.4,53.4
2026-09-13 02:00,false,0.2,74.7,53.8
2026-09-13 03:00,false,0.2,75,55.1
2026-09-13 04:00,false,0.2,75.2,57.2
2026-09-13 05:00,false,0.2,75.4,59.9
2026-09-13 06:00,false,0.2,75.4,63
2026-09-13 07:00,false,0.2,75.4,66.4
2026-09-13 08:00,false,0.2,75.2,69.8
2026-09-13 09:00,false,0.2,75,72.9
2026-09-13 10:00,false,0.2,74.7,75.6
2026-09-13 11:00,false,0.2,74.4,77.7
2026-09-13 12:00,false,0.2,74,79
2026-09-13 13:00,false,0.2,73.6,79.4
2026-09-13 14:00,false,0.2,73.3,79
2026-09-13 15:00,false,0.2,73,77.7
2026-09-13 16:00,false,0.2,72.8,75.6
2026-09-13 17:00,false,0.2,72.6,72.9
2026-09-13 18:00,false,0.2,72.6,69.8
2026-09-13 19:00,false,0.2,72.6,66.4
2026-09-13 20:00,false,0.2,72.8,63
2026-09-13 21:00,false,0.2,73,59.9
2026-09-13 22:00,false,0.2,73.3,57.2
2026-09-13 23:00,false,0.2,73.6,55.1
